#,Date Time,Temp C ,RH % ,CO2_1 ppm,CO2_2 ppm
339,04/17/10 10:16:00  PM,20.793,35.882,439.6,442.6
340,04/17/10 10:18:00  PM,20.793,35.915,445.7,442.6
341,04/17/10 10:20:00  PM,20.77,35.912,444.4,442.6
342,04/17/10 10:22:00  PM,20.77,35.912,446.9,442.6
343,04/17/10 10:24:00  PM,20.77,35.912,449.3,443.2
344,04/17/10 10:26:00  PM,20.77,35.912,445.7,443.2
345,04/17/10 10:28:00  PM,20.746,35.91,442,443.2
346,04/17/10 10:30:00  PM,20.746,35.91,445.7,443.2
347,04/17/10 10:32:00  PM,20.746,35.943,452.4,443.8
348,04/17/10 10:34:00  PM,20.746,35.943,452.4,443.8
349,04/17/10 10:36:00  PM,20.722,35.908,450.5,444.4
350,04/17/10 10:38:00  PM,20.722,35.941,449.3,444.4
351,04/17/10 10:40:00  PM,20.722,35.941,445.7,444.4
352,04/17/10 10:42:00  PM,20.698,35.938,444.4,444.4
353,04/17/10 10:44:00  PM,20.698,35.938,448.7,444.4
354,04/17/10 10:46:00  PM,20.698,35.938,450.5,445.1
355,04/17/10 10:48:00  PM,20.674,35.936,450.5,445.1
356,04/17/10 10:50:00  PM,20.674,35.936,447.5,445.1
357,04/17/10 10:52:00  PM,20.674,35.969,446.9,445.7
358,04/17/10 10:54:00  PM,20.674,35.903,443.8,445.1
359,04/17/10 10:56:00  PM,20.65,35.934,453.6,445.7
360,04/17/10 10:58:00  PM,20.65,35.934,447.5,445.7
361,04/17/10 11:00:00  PM,20.65,35.966,443.8,445.7
362,04/17/10 11:02:00  PM,20.65,35.966,443.8,445.7
363,04/17/10 11:04:00  PM,20.627,35.931,445.7,445.7
364,04/17/10 11:06:00  PM,20.627,35.964,443.8,445.7
365,04/17/10 11:08:00  PM,20.627,35.964,450.5,445.7
366,04/17/10 11:10:00  PM,20.603,35.962,447.5,445.7
367,04/17/10 11:12:00  PM,20.603,35.962,449.3,446.3
368,04/17/10 11:14:00  PM,20.603,35.962,445.7,446.3
369,04/17/10 11:16:00  PM,20.603,35.962,442.6,446.3
370,04/17/10 11:18:00  PM,20.603,35.962,451.8,446.3
371,04/17/10 11:20:00  PM,20.579,35.959,450.5,446.9
372,04/17/10 11:22:00  PM,20.579,35.959,450.5,446.9
373,04/17/10 11:24:00  PM,20.579,35.959,446.3,447.5
374,04/17/10 11:26:00  PM,20.579,35.959,446.9,447.5
375,04/17/10 11:28:00  PM,20.555,35.957,448.7,447.5
376,04/17/10 11:30:00  PM,20.555,35.957,445.7,447.5
377,04/17/10 11:32:00  PM,20.555,35.99,441.4,447.5
378,04/17/10 11:34:00  PM,20.531,35.988,447.5,447.5
379,04/17/10 11:36:00  PM,20.531,35.988,444.4,447.5
380,04/17/10 11:38:00  PM,20.531,35.988,448.7,447.5
381,04/17/10 11:40:00  PM,20.507,35.985,447.5,448.1
382,04/17/10 11:42:00  PM,20.507,36.018,450.5,448.1
383,04/17/10 11:44:00  PM,20.507,36.018,448.7,448.7
384,04/17/10 11:46:00  PM,20.507,35.985,445.1,448.7
385,04/17/10 11:48:00  PM,20.507,36.018,446.9,448.7
386,04/17/10 11:50:00  PM,20.484,36.016,449.3,448.7
387,04/17/10 11:52:00  PM,20.484,36.016,443.8,448.7
388,04/17/10 11:54:00  PM,20.484,36.016,443.8,448.7
389,04/17/10 11:56:00  PM,20.484,36.016,442.6,448.7
390,04/17/10 11:58:00  PM,20.484,36.016,440.8,448.7
391,04/18/10 12:00:00  AM,20.46,36.013,439.6,448.7
392,04/18/10 12:02:00  AM,20.46,36.013,442.6,448.1
393,04/18/10 12:04:00  AM,20.46,36.046,444.4,448.1
394,04/18/10 12:06:00  AM,20.436,35.945,446.9,448.7
395,04/18/10 12:08:00  AM,20.436,35.945,446.9,448.7
396,04/18/10 12:10:00  AM,20.412,35.943,447.5,448.7
397,04/18/10 12:12:00  AM,20.388,35.941,448.7,449.3
398,04/18/10 12:14:00  AM,20.388,35.908,447.5,449.3
399,04/18/10 12:16:00  AM,20.365,35.906,445.7,449.3
400,04/18/10 12:18:00  AM,20.341,35.87,450.5,449.9
401,04/18/10 12:20:00  AM,20.341,35.87,449.9,450.5
402,04/18/10 12:22:00  AM,20.341,35.903,452.4,450.5
403,04/18/10 12:24:00  AM,20.317,35.901,447.5,451.2
404,04/18/10 12:26:00  AM,20.317,35.868,445.7,451.2
405,04/18/10 12:28:00  AM,20.293,35.997,447.5,451.8
406,04/18/10 12:30:00  AM,20.293,35.997,454.8,451.8
407,04/18/10 12:32:00  AM,20.293,36.095,447.5,452.4
408,04/18/10 12:34:00  AM,20.269,36.159,454.8,453
